X	Y	Z	Layer
-145.000000	-15.000000	468.809906	0
-144.696318	-14.980164	468.391705	0
-144.392636	-14.960329	467.973503	0
-144.088955	-14.940493	467.555302	0
-143.785273	-14.920657	467.137100	0
-143.481591	-14.900822	466.718899	0
-143.177909	-14.880986	466.300698	0
-142.874228	-14.861151	465.882496	0
-142.570546	-14.841315	465.464295	0
-142.266864	-14.821479	465.046093	0
-141.963182	-14.801644	464.627892	0
-141.659501	-14.781808	464.209690	0
-141.355819	-14.761972	463.791489	0
-141.052137	-14.742137	463.373288	0
-140.748455	-14.722301	462.955086	0
-140.444774	-14.702466	462.536885	0
-140.141092	-14.682630	462.118683	0
-139.837410	-14.662794	461.700482	0
-139.533728	-14.642959	461.282281	0
-139.230047	-14.623123	460.864079	0
-138.926365	-14.603287	460.445878	0
-138.622683	-14.583452	460.027676	0
-138.319001	-14.563616	459.609475	0
-138.015320	-14.543781	459.191273	0
-137.711638	-14.523945	458.773072	0
-137.407956	-14.504109	458.354871	0
-137.104274	-14.484274	457.936669	0
-136.800593	-14.464438	457.518468	0
-136.496911	-14.444602	457.100266	0
-136.193229	-14.424767	456.682065	0
-135.889547	-14.404931	456.263864	0
-135.585866	-14.385096	455.845662	0
-135.282184	-14.365260	455.427461	0
-134.978502	-14.345424	455.009259	0
-134.674820	-14.325589	454.591058	0
-134.371138	-14.305753	454.172857	0
-134.067457	-14.285917	453.754655	0
-133.763775	-14.266082	453.336454	0
-133.460093	-14.246246	452.918252	0
-133.156411	-14.226410	452.500051	0
-132.852730	-14.206575	452.081849	0
-132.549048	-14.186739	451.663648	0
-132.245366	-14.166904	451.245447	0
-131.941684	-14.147068	450.827245	0
-131.638003	-14.127232	450.409044	0
-131.334321	-14.107397	449.990842	0
-131.030639	-14.087561	449.572641	0
-130.726957	-14.067725	449.154440	0
-130.423276	-14.047890	448.736238	0
-130.119594	-14.028054	448.318037	0
-129.815912	-14.008219	447.899835	0
-129.512230	-13.988383	447.481634	0
-129.208549	-13.968547	447.063433	0
-128.904867	-13.948712	446.645231	0
-128.601185	-13.928876	446.227030	0
-128.297503	-13.909040	445.808828	0
-127.993822	-13.889205	445.390627	0
-127.690140	-13.869369	444.972425	0
-127.386458	-13.849534	444.554224	0
-127.082776	-13.829698	444.136023	0
-126.779095	-13.809862	443.717821	0
-126.475413	-13.790027	443.299620	0
-126.171731	-13.770191	442.881418	0
-125.868049	-13.750355	442.463217	0
-125.406339	-13.573302	442.404021	0
-124.933330	-13.367453	442.439405	0
-124.456841	-13.170351	442.479561	0
-123.947565	-13.163744	442.559617	0
-123.436864	-13.165438	442.641412	0
-122.924807	-13.166958	442.714213	0
-122.408584	-13.167659	442.744827	0
-121.892164	-13.168321	442.773439	0
-121.375242	-13.163130	442.789683	0
-120.858607	-13.143994	442.776381	0
-120.341988	-13.124147	442.761572	0
-119.825055	-13.110485	442.751632	0
-119.307879	-13.105781	442.748745	0
-118.790690	-13.101569	442.746245	0
-118.273483	-13.099434	442.746743	0
-117.756282	-13.099222	442.750015	0
-117.239081	-13.099122	442.753449	0
-116.721870	-13.099132	442.753008	0
-116.204665	-13.099208	442.750264	0
-115.687461	-13.099289	442.747381	0
-115.170252	-13.099337	442.745672	0
